Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
4,System,IPv6,TCP,LISTEN,::,445,::,0,2026-03-31T18:05:13Z
432,svchost.exe,IPv6,TCP,LISTEN,::,3389,::,0,2026-03-31T18:05:12Z
1864,OneDrive.Sync.Service.exe,IPv6,TCP,LISTEN,::1,42050,::,0,2026-03-31T18:27:06Z
708,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2026-03-31T18:05:12Z
548,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2026-03-31T18:05:12Z
1080,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2026-03-31T18:05:12Z
412,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2026-03-31T18:05:12Z
2324,spoolsv.exe,IPv6,TCP,LISTEN,::,49668,::,0,2026-03-31T18:05:13Z
2428,svchost.exe,IPv6,TCP,LISTEN,::,49669,::,0,2026-03-31T18:05:31Z
668,services.exe,IPv6,TCP,LISTEN,::,49670,::,0,2026-03-31T18:05:41Z
4,System,IPv4,UDP,,10.0.2.5,137,,0,2026-03-31T18:05:19Z
4,System,IPv4,UDP,,10.0.2.5,138,,0,2026-03-31T18:05:19Z
412,svchost.exe,IPv4,UDP,,0.0.0.0,500,,0,2026-03-31T18:05:13Z
3364,svchost.exe,IPv4,UDP,,10.0.2.5,1900,,0,2026-03-31T18:13:36Z
3364,svchost.exe,IPv4,UDP,,127.0.0.1,1900,,0,2026-03-31T18:13:36Z
432,svchost.exe,IPv4,UDP,,0.0.0.0,3389,,0,2026-03-31T18:05:12Z
412,svchost.exe,IPv4,UDP,,0.0.0.0,4500,,0,2026-03-31T18:05:13Z
1284,svchost.exe,IPv4,UDP,,0.0.0.0,5050,,0,2026-03-31T18:07:45Z
1652,svchost.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-03-31T18:05:19Z
1652,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2026-03-31T18:45:13Z
3364,svchost.exe,IPv4,UDP,,10.0.2.5,52980,,0,2026-03-31T18:13:36Z
3364,svchost.exe,IPv4,UDP,,127.0.0.1,52981,,0,2026-03-31T18:13:36Z
412,svchost.exe,IPv4,UDP,,127.0.0.1,55105,,0,2026-03-31T18:05:16Z
412,svchost.exe,IPv6,UDP,,::,500,,0,2026-03-31T18:05:13Z
3364,svchost.exe,IPv6,UDP,,::1,1900,,0,2026-03-31T18:13:36Z
3364,svchost.exe,IPv6,UDP,,fe80::cea3:3504:1063:dd8c,1900,,0,2026-03-31T18:13:36Z
432,svchost.exe,IPv6,UDP,,::,3389,,0,2026-03-31T18:05:12Z
412,svchost.exe,IPv6,UDP,,::,4500,,0,2026-03-31T18:05:13Z
1652,svchost.exe,IPv6,UDP,,::,5353,,0,2026-03-31T18:05:19Z
1652,svchost.exe,IPv6,UDP,,::,5355,,0,2026-03-31T18:45:13Z
3364,svchost.exe,IPv6,UDP,,fe80::cea3:3504:1063:dd8c,52978,,0,2026-03-31T18:13:36Z
3364,svchost.exe,IPv6,UDP,,::1,52979,,0,2026-03-31T18:13:36Z
